Y_test,Y_pred
31.8,29.752838714958465
30.8,28.85801952861798
28.5,29.49534824320877
27.9,29.80273197670686
28.7,28.570773029147496
29.5,28.855388893989407
31.2,29.729418052925013
29.1,29.486188327921077
28.7,30.622569744547405
29.3,29.34531887875875
27.8,30.04908571770424
31.7,31.31462973735211
33.1,32.35165264480022
34.2,29.661308647969175
33.3,32.369587336568
33.3,32.24446665892307
34.4,30.597883006174587
31.7,30.188845091601898
31.3,29.937030038620357
29.3,28.833927212787472
30.7,29.976827037771177
29.2,29.784646943038513
28.1,29.274558550798666
28.1,27.144544785148668
30.8,28.649043646430528
28.5,28.36502817112804
29.7,29.666972574158432
28.2,28.373750922085595
24.1,27.385275539802002
27.7,28.99406520481535
30.4,28.935459352583976
27.1,29.88558531477242
28.2,29.30111578216379
29.6,29.891611603380998
29.9,29.06686536935666
27.9,28.041614084145927
26.0,30.236075494875926
29.1,29.18328753559677
29.3,29.12021461843931
30.1,28.60270630342078
29.5,28.710978350492763
31.0,29.22839298861141
29.0,27.845955796075096
29.9,29.771256429860337
28.7,28.98524940078728
29.0,29.97570513863873
28.2,28.91624929189285
29.1,28.85291463396634
30.5,29.29562467525529
29.8,28.77302357023131
30.2,29.6912616218028
28.4,29.28775070096415
28.5,29.1345529385331
30.4,29.976709366542565
31.6,30.055052172034383
29.0,29.34132898269861
29.0,29.42816586634386
30.7,29.618762677568295
26.0,27.97166851196703
27.3,27.937142483367655
29.1,28.517136342148888
28.9,29.273774535280015
28.2,29.24946350983256
31.3,29.794801719450042
29.1,27.809698547422137
28.2,27.790051073786746
29.4,29.819037941462927
28.5,29.02238471070066
28.7,29.037283669465534
27.9,29.205396968541045
28.3,28.924588097314533
29.6,29.263007110951932
28.9,29.09460623765443
29.0,29.729207289653814
28.0,28.581992677066644
27.9,29.315896107360604
26.9,29.225374966687802
28.8,29.705374833049934
28.5,29.088944204710423
28.8,29.83750464454531
28.2,29.663337610404614
28.8,30.830271982534097
27.8,30.03460284040172
28.3,29.474678244286157
29.4,29.71515404931716
28.3,28.575324838661377
29.4,27.741774707804666
29.4,29.168996750277906
29.0,29.12693448679718
28.2,29.271712009962904
29.1,28.65081620462097
23.2,26.377481159746694
30.5,29.487789973311973
30.6,31.93734277686028
32.1,32.27163953550231
33.3,30.90653097165697
29.1,29.62576840941488
31.6,28.767352775342772
30.6,30.870894096852304
28.4,27.608124770173166
29.5,29.037994767580077
28.9,29.435436934171857
27.3,27.855084729706945
27.5,28.152009353242324
29.8,27.60419019151587
29.0,27.993697288767525
29.7,29.83838116346551
29.7,28.642819453730198
28.6,28.616186837601184
22.9,26.63967547271887
28.4,29.413491858519656
26.8,28.068371948000248
28.7,29.693845299700882
29.7,28.286739187268015
28.5,27.05706696658286
30.0,29.033020525933107
28.8,28.78820540035325
29.9,28.823973700572616
28.6,29.343554552112227
28.5,28.882315159256002
28.0,27.998823232112194
27.9,28.526812057445895
29.2,29.85846230794192
25.7,25.50770851057204
