Y_test,Y_pred
27.4,29.802634673966658
28.2,28.485019405495294
29.4,30.98846313055095
30.2,28.917260977041618
32.2,29.110017775625092
33.4,31.589899687477878
32.5,31.337951394546714
28.8,28.574334109726472
30.5,31.629337505985177
32.3,29.95324190521348
32.9,32.42030934364218
30.3,31.38759939615894
32.6,32.32709486930772
33.0,32.32709486930772
31.8,29.437358501326553
32.2,28.34824205826431
28.9,30.434618812087347
29.2,29.333911467027267
29.4,28.279438564707934
28.8,28.283628466585053
26.0,27.594532462109605
29.0,29.780609976996196
28.2,28.006683650156134
28.2,29.270899999905865
30.0,29.260484772643675
28.5,28.572439209219077
29.6,28.958100800784873
27.6,27.084057385706352
28.5,30.463450820149394
28.0,29.544760401378927
29.3,28.849123362191996
29.4,28.873179943385324
28.1,28.341259345054763
27.8,28.505001234790445
32.1,28.96278761695111
29.7,28.87864531697551
28.5,28.23210456214776
28.9,29.895927060131427
27.3,28.079163671365013
28.3,29.769596999831045
27.8,28.79206744272553
29.9,28.506917676337558
28.9,29.895927060131427
28.2,29.02886238525046
29.3,31.169372980541723
29.0,28.39025072922324
30.5,30.54447771659947
28.5,29.334656420281352
29.2,28.595349134493176
29.4,30.02440792812321
27.8,28.789870690852684
29.1,29.729685341079414
26.4,28.073183977695233
28.2,29.721358010994578
28.1,27.873456861310522
28.2,30.282986986734663
28.5,29.012473969329182
27.3,28.124464351107253
27.3,29.2676639439104
27.8,28.427410324885813
27.7,28.256146627252257
28.7,29.147877695282187
27.5,27.430389167785556
27.8,29.894157853284106
28.3,28.645952505441226
26.6,28.047272231115684
27.1,29.258557414900686
29.0,28.12780389406545
28.5,29.08575682285977
29.4,29.356525484579066
25.6,27.997201728377714
27.4,28.617119325838004
26.9,28.34793945680969
26.4,27.712525849872748
27.7,27.866149461865767
26.5,28.904873559640127
27.1,28.793400638537914
27.8,27.915204924265115
28.2,29.706668625515498
27.0,29.086787668700037
27.1,27.788173081408157
31.4,27.925731214194084
27.1,29.897299143565785
30.7,28.480017153172007
29.3,29.272786969951625
28.6,28.589382641270202
30.5,29.78891230077162
31.3,29.04675924917003
33.7,30.441594697236546
28.0,29.50997391585573
29.6,29.57748707721226
30.1,28.81921021033543
29.5,27.893688247986272
27.1,27.972745681686643
27.3,26.96874915097261
26.2,28.224818190503196
28.4,29.634899979133163
30.2,28.636592229347922
29.9,30.18441034974938
28.3,28.697786950547574
29.2,28.861425159001392
31.1,29.081217020079315
25.6,28.037596029827753
23.4,28.41853413950146
27.8,28.923241979087592
27.4,26.60615272767956
27.8,27.905202225023842
27.5,28.1392529133935
28.4,28.675085731552034
29.0,28.25654827478288
26.9,27.941203508533025
26.8,28.986246700666996
26.7,28.72953366881484
28.2,28.765250734616817
27.4,28.45228604057698
26.1,28.995977034907792
26.7,27.254466541565797
27.4,27.345790311690656
28.0,29.177884312264112
29.6,31.762008307847896
27.5,28.731906000512065
27.5,29.776528823511143
27.6,28.006733993681937
28.9,28.844890417784846
